Frame 162 | Time 6.44s | Emotion: happy
Frame 164 | Time 6.52s | Emotion: happy
Frame 166 | Time 6.60s | Emotion: neutral
Frame 168 | Time 6.68s | Emotion: neutral
Frame 170 | Time 6.76s | Emotion: neutral
Frame 172 | Time 6.84s | Emotion: neutral
Frame 174 | Time 6.92s | Emotion: neutral
Frame 176 | Time 7.00s | Emotion: neutral
Frame 178 | Time 7.08s | Emotion: neutral
Frame 180 | Time 7.16s | Emotion: neutral
Frame 182 | Time 7.24s | Emotion: neutral
Frame 184 | Time 7.32s | Emotion: neutral
Frame 186 | Time 7.40s | Emotion: neutral
Frame 188 | Time 7.48s | Emotion: neutral
Frame 190 | Time 7.56s | Emotion: neutral
Frame 192 | Time 7.64s | Emotion: neutral
Frame 194 | Time 7.72s | Emotion: neutral
Frame 196 | Time 7.80s | Emotion: neutral
Frame 198 | Time 7.88s | Emotion: neutral
Frame 200 | Time 7.96s | Emotion: neutral
Frame 202 | Time 8.04s | Emotion: neutral
Frame 204 | Time 8.12s | Emotion: neutral
Frame 206 | Time 8.20s | Emotion: neutral
Frame 208 | Time 8.28s | Emotion: neutral
Frame 210 | Time 8.36s | Emotion: neutral
Frame 212 | Time 8.44s | Emotion: neutral
Frame 214 | Time 8.52s | Emotion: neutral
Frame 216 | Time 8.60s | Emotion: neutral
Frame 218 | Time 8.68s | Emotion: neutral
Frame 220 | Time 8.76s | Emotion: neutral
Frame 222 | Time 8.84s | Emotion: neutral
Frame 224 | Time 8.92s | Emotion: neutral
Frame 226 | Time 9.00s | Emotion: neutral
Frame 228 | Time 9.08s | Emotion: neutral
Frame 230 | Time 9.16s | Emotion: neutral
Frame 232 | Time 9.24s | Emotion: neutral
Frame 234 | Time 9.32s | Emotion: surprise
Frame 236 | Time 9.40s | Emotion: surprise
Frame 238 | Time 9.48s | Emotion: neutral
Frame 240 | Time 9.56s | Emotion: neutral
Frame 242 | Time 9.64s | Emotion: neutral
Frame 244 | Time 9.72s | Emotion: neutral
Frame 246 | Time 9.80s | Emotion: neutral
Frame 248 | Time 9.88s | Emotion: neutral
Frame 250 | Time 9.96s | Emotion: neutral
Frame 252 | Time 10.04s | Emotion: neutral
Frame 254 | Time 10.12s | Emotion: neutral
Frame 256 | Time 10.20s | Emotion: neutral
Frame 258 | Time 10.28s | Emotion: neutral
Frame 260 | Time 10.36s | Emotion: neutral
Frame 262 | Time 10.44s | Emotion: neutral
Frame 500 | Time 19.96s | Emotion: neutral
Frame 502 | Time 20.04s | Emotion: happy
Frame 504 | Time 20.12s | Emotion: neutral
Frame 506 | Time 20.20s | Emotion: neutral
Frame 508 | Time 20.28s | Emotion: neutral
Frame 510 | Time 20.36s | Emotion: neutral
Frame 512 | Time 20.44s | Emotion: neutral
Frame 514 | Time 20.52s | Emotion: neutral
Frame 516 | Time 20.60s | Emotion: neutral
Frame 518 | Time 20.68s | Emotion: neutral
Frame 520 | Time 20.76s | Emotion: neutral
Frame 522 | Time 20.84s | Emotion: neutral
Frame 524 | Time 20.92s | Emotion: neutral
Frame 526 | Time 21.00s | Emotion: neutral
Frame 528 | Time 21.08s | Emotion: neutral
Frame 530 | Time 21.16s | Emotion: fear
Frame 532 | Time 21.24s | Emotion: neutral
Frame 534 | Time 21.32s | Emotion: neutral
Frame 536 | Time 21.40s | Emotion: neutral
Frame 538 | Time 21.48s | Emotion: neutral
Frame 540 | Time 21.56s | Emotion: angry
Frame 542 | Time 21.64s | Emotion: disgust
Frame 544 | Time 21.72s | Emotion: sad
Frame 546 | Time 21.80s | Emotion: sad
Frame 548 | Time 21.88s | Emotion: disgust
Frame 550 | Time 21.96s | Emotion: disgust
Frame 552 | Time 22.04s | Emotion: sad
Frame 554 | Time 22.12s | Emotion: neutral
Frame 556 | Time 22.20s | Emotion: neutral
Frame 558 | Time 22.28s | Emotion: neutral
Frame 560 | Time 22.36s | Emotion: neutral
Frame 562 | Time 22.44s | Emotion: neutral
Frame 564 | Time 22.52s | Emotion: neutral
Frame 566 | Time 22.60s | Emotion: neutral
Frame 568 | Time 22.68s | Emotion: neutral
Frame 570 | Time 22.76s | Emotion: neutral
Frame 572 | Time 22.84s | Emotion: neutral
Frame 574 | Time 22.92s | Emotion: neutral
Frame 576 | Time 23.00s | Emotion: neutral
Frame 578 | Time 23.08s | Emotion: neutral
Frame 580 | Time 23.16s | Emotion: neutral
Frame 582 | Time 23.24s | Emotion: neutral
Frame 584 | Time 23.32s | Emotion: neutral
Frame 586 | Time 23.40s | Emotion: neutral
Frame 588 | Time 23.48s | Emotion: neutral
Frame 824 | Time 32.92s | Emotion: neutral
Frame 826 | Time 33.00s | Emotion: neutral
Frame 828 | Time 33.08s | Emotion: neutral
Frame 830 | Time 33.16s | Emotion: neutral
Frame 832 | Time 33.24s | Emotion: neutral
Frame 834 | Time 33.32s | Emotion: neutral
Frame 836 | Time 33.40s | Emotion: neutral
Frame 838 | Time 33.48s | Emotion: neutral
Frame 840 | Time 33.56s | Emotion: neutral
Frame 842 | Time 33.64s | Emotion: neutral
Frame 844 | Time 33.72s | Emotion: neutral
Frame 846 | Time 33.80s | Emotion: neutral
Frame 848 | Time 33.88s | Emotion: neutral
Frame 850 | Time 33.96s | Emotion: neutral
Frame 852 | Time 34.04s | Emotion: neutral
Frame 854 | Time 34.12s | Emotion: neutral
Frame 856 | Time 34.20s | Emotion: neutral
Frame 858 | Time 34.28s | Emotion: neutral
Frame 860 | Time 34.36s | Emotion: neutral
Frame 862 | Time 34.44s | Emotion: neutral
Frame 864 | Time 34.52s | Emotion: neutral
Frame 866 | Time 34.60s | Emotion: neutral
Frame 868 | Time 34.68s | Emotion: neutral
Frame 870 | Time 34.76s | Emotion: neutral
Frame 872 | Time 34.84s | Emotion: neutral
Frame 874 | Time 34.92s | Emotion: neutral
Frame 876 | Time 35.00s | Emotion: neutral
Frame 878 | Time 35.08s | Emotion: neutral
Frame 880 | Time 35.16s | Emotion: neutral
Frame 882 | Time 35.24s | Emotion: neutral
Frame 884 | Time 35.32s | Emotion: neutral
Frame 886 | Time 35.40s | Emotion: neutral
Frame 888 | Time 35.48s | Emotion: neutral
Frame 890 | Time 35.56s | Emotion: neutral
Frame 892 | Time 35.64s | Emotion: happy
Frame 894 | Time 35.72s | Emotion: neutral
Frame 896 | Time 35.80s | Emotion: neutral
Frame 898 | Time 35.88s | Emotion: neutral
Frame 900 | Time 35.96s | Emotion: neutral
Frame 902 | Time 36.04s | Emotion: neutral
